# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,1.059684928137149817e-01
6.666666666666666075e+00,1.333333333333333289e-03,3.361720386531749649e-01
3.999999999999999112e+00,6.903333333333333544e-02,4.487781297648220091e-01
2.857142857142856762e+00,1.318000000000000005e-01,5.214443060371419802e-01
2.222222222222221877e+00,1.986933768874370732e-01,5.696980175693785453e-01
1.818181818181817677e+00,2.269257691410286326e-01,6.150694522864394997e-01
1.538461538461538103e+00,2.666999999999999926e-01,6.478293813530218159e-01
1.333333333333333037e+00,2.929666666666666530e-01,6.754095809822655561e-01
1.176470588235293935e+00,3.269557681410619754e-01,6.884787992328840200e-01
1.052631578947368141e+00,3.433666666666666534e-01,7.070065285650884990e-01
9.523809523809521060e-01,3.704000000000000070e-01,7.288746942594491740e-01
8.695652173913041016e-01,3.879000000000000226e-01,7.528834381136377818e-01
7.999999999999998224e-01,4.021333333333333426e-01,7.761704252255136049e-01
7.407407407407405886e-01,4.144195193493550033e-01,7.830635552694422685e-01
6.896551724137929273e-01,4.309666666666666646e-01,8.024011915531432670e-01
6.451612903225805162e-01,4.375666666666666593e-01,8.063195791959335557e-01
