# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,3.447999999999999954e-01,7.156404606455156747e-01
6.666666666666666075e+00,3.679000000000000048e-01,7.269082127892533274e-01
3.999999999999999112e+00,3.817333333333333134e-01,7.289706445368582255e-01
2.857142857142856762e+00,3.885333333333333417e-01,7.186698710616161723e-01
2.222222222222221877e+00,3.938333333333333131e-01,7.218720850457669425e-01
1.818181818181817677e+00,4.111333333333333506e-01,7.216154948789275103e-01
1.538461538461538103e+00,4.015666666666666829e-01,7.167903200546059672e-01
1.333333333333333037e+00,4.111333333333333506e-01,7.116967572158527933e-01
1.176470588235293935e+00,4.197000000000000175e-01,7.045334986424329760e-01
1.052631578947368141e+00,4.268333333333333424e-01,7.078951355823513980e-01
9.523809523809521060e-01,4.366666666666666474e-01,7.067028466965485922e-01
8.695652173913041016e-01,4.338666666666666782e-01,7.046593199871010738e-01
7.999999999999998224e-01,4.417666666666666409e-01,7.093630720682163604e-01
7.407407407407405886e-01,4.382666666666666933e-01,7.063996560473778663e-01
6.896551724137929273e-01,4.501666666666666594e-01,6.958287046418463184e-01
6.451612903225805162e-01,4.506999999999999895e-01,6.975586435284086839e-01
