# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,1.058583525444236062e-01
6.666666666666666075e+00,1.799999999999999951e-03,3.307331758397273891e-01
3.999999999999999112e+00,7.760000000000000231e-02,4.465136014357737326e-01
2.857142857142856762e+00,1.431666666666666643e-01,5.162856541678950695e-01
2.222222222222221877e+00,2.115262824572514133e-01,5.699330188876379211e-01
1.818181818181817677e+00,2.417252758241391908e-01,6.106288217879397573e-01
1.538461538461538103e+00,2.835333333333333594e-01,6.427948772430334134e-01
1.333333333333333037e+00,3.107666666666666910e-01,6.721285341299022553e-01
1.176470588235293935e+00,3.421219292690243496e-01,6.860692342607516148e-01
1.052631578947368141e+00,3.578333333333333366e-01,7.043270755879005307e-01
9.523809523809521060e-01,3.810999999999999943e-01,7.251629255750347003e-01
8.695652173913041016e-01,3.976333333333333386e-01,7.488008706859028418e-01
7.999999999999998224e-01,4.164999999999999813e-01,7.718126370451198204e-01
7.407407407407405886e-01,4.262524582513916305e-01,7.821056583617125302e-01
6.896551724137929273e-01,4.422666666666666413e-01,8.017600578156383051e-01
6.451612903225805162e-01,4.550333333333333452e-01,8.025899493970122256e-01
