# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,5.972333333333332828e-01,9.317161430991324211e-01
6.666666666666666075e+00,6.071333333333333027e-01,9.293834779033459670e-01
3.999999999999999112e+00,6.058999999999999941e-01,9.311303888705213527e-01
2.857142857142856762e+00,6.138333333333333419e-01,9.148476563480271162e-01
2.222222222222221877e+00,6.241333333333333178e-01,9.140578873504331403e-01
1.818181818181817677e+00,6.304666666666666197e-01,9.174369887276438984e-01
1.538461538461538103e+00,6.394333333333332980e-01,9.140691920301522444e-01
1.333333333333333037e+00,6.485999999999999543e-01,9.098777384710866611e-01
1.176470588235293935e+00,6.425333333333332897e-01,9.008634121570536779e-01
1.052631578947368141e+00,6.560666666666666869e-01,8.998586704906954559e-01
9.523809523809521060e-01,6.632666666666666710e-01,8.999019538914427851e-01
8.695652173913041016e-01,6.582999999999999963e-01,8.983180333473450574e-01
7.999999999999998224e-01,6.699666666666667103e-01,8.901265447201489600e-01
7.407407407407405886e-01,6.714333333333333265e-01,8.920978651293350881e-01
6.896551724137929273e-01,6.723000000000000087e-01,8.868267726134287932e-01
6.451612903225805162e-01,6.767999999999999572e-01,8.857180325316057479e-01
