# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,7.823482527181053678e-03
6.666666666666666075e+00,0.000000000000000000e+00,6.818099769987635839e-02
3.999999999999999112e+00,0.000000000000000000e+00,1.694425184227747183e-01
2.857142857142856762e+00,4.866666666666666710e-03,3.054031926928026386e-01
2.222222222222221877e+00,5.806666666666666921e-02,4.016283408431357560e-01
1.818181818181817677e+00,1.178000000000000019e-01,4.742882967517248471e-01
1.538461538461538103e+00,1.691999999999999893e-01,5.338156153424281625e-01
1.333333333333333037e+00,2.080666666666666775e-01,5.663160607005701674e-01
1.176470588235293935e+00,2.543666666666666853e-01,5.996749798387748243e-01
1.052631578947368141e+00,2.845666666666666900e-01,6.242319883709274153e-01
9.523809523809521060e-01,3.121666666666666479e-01,6.540260956231986889e-01
8.695652173913041016e-01,3.274000000000000243e-01,6.696780958835478748e-01
7.999999999999998224e-01,3.417000000000000037e-01,6.881116056366017864e-01
7.407407407407405886e-01,3.587333333333333485e-01,6.969033236299730927e-01
6.896551724137929273e-01,3.863666666666666916e-01,7.178588691993708082e-01
6.451612903225805162e-01,3.930333333333333456e-01,7.338897633294049205e-01
