# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,1.969333333333333214e-01,7.419240690395958460e-01
6.666666666666666075e+00,2.011333333333333306e-01,7.468534197207502556e-01
3.999999999999999112e+00,2.108666666666666745e-01,7.407916665765891251e-01
2.857142857142856762e+00,2.129666666666666652e-01,7.439208482595379701e-01
2.222222222222221877e+00,2.109333333333333338e-01,7.348156227740421098e-01
1.818181818181817677e+00,2.136666666666666714e-01,7.460506673925869636e-01
1.538461538461538103e+00,2.207999999999999963e-01,7.363099185032179195e-01
1.333333333333333037e+00,2.210333333333333317e-01,7.361871969981301778e-01
1.176470588235293935e+00,2.170999999999999874e-01,7.314261622898173831e-01
1.052631578947368141e+00,2.225000000000000033e-01,7.278094869155636859e-01
9.523809523809521060e-01,2.266333333333333255e-01,7.239499131386936126e-01
8.695652173913041016e-01,2.318333333333333357e-01,7.235958962628448177e-01
7.999999999999998224e-01,2.416333333333333389e-01,7.237299528903095025e-01
7.407407407407405886e-01,2.394333333333333313e-01,7.216831993533734391e-01
6.896551724137929273e-01,2.333999999999999964e-01,7.235993135163609757e-01
6.451612903225805162e-01,2.325333333333333419e-01,7.144269527943122311e-01
