# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.564333333333333242e-01,7.115897720963996198e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.780000000000000027e-01,7.125566389395437961e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.892666666666666497e-01,7.145720733217377774e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.945333333333333470e-01,7.152768614271965975e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.957999999999999852e-01,7.223677130574284178e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.171333333333333560e-01,7.146117145340985521e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.153666666666666618e-01,7.203211263830496813e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.282333333333333547e-01,7.046142639627996918e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.301333333333333120e-01,7.014259047880528897e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.396999999999999797e-01,7.039062217761508089e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.456666666666666554e-01,6.951425619177161730e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.504000000000000226e-01,6.924544088939205144e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.576000000000000068e-01,6.910356089118362410e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.582999999999999852e-01,6.950459608455732408e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.696000000000000174e-01,6.852929966676641893e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.681000000000000161e-01,6.928530371911881813e-01,0.000000000000000000e+00
