# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.519999999999999796e-01,7.180516391159033063e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.669666666666666632e-01,7.136842834572035832e-01,0.000000000000000000e+00
5.000000000000000000e+00,3.751999999999999780e-01,7.162867634779956916e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.375000000000000000e-01,7.048548134352538019e-01,0.000000000000000000e+00
5.000000000000000000e-01,4.759666666666666490e-01,6.896506690296004827e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.169333333333333336e-01,4.744538029431640269e-01,0.000000000000000000e+00
