# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.577666666666666773e-01,6.745542662726373706e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.794333333333333447e-01,6.836980983931958411e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.906666666666666621e-01,6.862619325322896202e-01,0.000000000000000000e+00
2.857142857142856762e+00,4.019666666666666943e-01,6.856608171759180914e-01,0.000000000000000000e+00
2.222222222222221877e+00,4.056000000000000161e-01,6.903530061543052820e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.181333333333333568e-01,6.807976169136471523e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.161666666666666847e-01,6.807798606149386700e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.247000000000000219e-01,6.818686909856030987e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.332333333333333591e-01,6.762367824906924119e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.405333333333333323e-01,6.886814606592316368e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.411333333333333218e-01,6.783725393808469617e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.497999999999999776e-01,6.912899799111640320e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.536666666666666625e-01,6.790303956959289344e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.667999999999999927e-01,6.724866737841006525e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.656333333333333435e-01,6.764771752099872915e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.787333333333333441e-01,6.759315207228731026e-01,0.000000000000000000e+00
