# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.635999999999999788e-01,6.761586814294467951e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.837333333333333152e-01,6.803818942039786544e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.880000000000000115e-01,6.830425672521868163e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.979333333333333056e-01,6.857289111341351440e-01,0.000000000000000000e+00
2.222222222222221877e+00,4.021000000000000130e-01,6.910214623219431695e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.176333333333333564e-01,6.879723992663129284e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.223666666666666680e-01,6.929903114052929913e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.315333333333333243e-01,6.807322892289030536e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.335666666666666558e-01,6.796705570592288526e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.381333333333333191e-01,6.772439199539731502e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.485000000000000098e-01,6.721088766935109371e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.516666666666666607e-01,6.730950889313600527e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.616999999999999993e-01,6.722742839475488452e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.620666666666666811e-01,6.770950254945233837e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.717666666666666675e-01,6.701594554232888079e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.709333333333333149e-01,6.721988217158513246e-01,0.000000000000000000e+00
