# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.689711971540671709e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.253927137744775669e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.720927334515171075e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.030040848371667206e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.531878342684576122e-01,0.000000000000000000e+00
1.818181818181817677e+00,1.000000000000000048e-04,2.108103651581609284e-01,0.000000000000000000e+00
1.538461538461538103e+00,2.666666666666666578e-03,2.655108754056892950e-01,0.000000000000000000e+00
1.333333333333333037e+00,1.346666666666666672e-02,3.117527220961370804e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.620000000000000301e-02,3.553263614404577053e-01,0.000000000000000000e+00
1.052631578947368141e+00,5.596666666666666456e-02,3.784007372807111080e-01,0.000000000000000000e+00
9.523809523809521060e-01,7.420000000000000207e-02,4.013491658642854287e-01,0.000000000000000000e+00
8.695652173913041016e-01,8.946666666666666656e-02,4.319396798141863503e-01,0.000000000000000000e+00
7.999999999999998224e-01,1.068000000000000060e-01,4.459516738278325731e-01,0.000000000000000000e+00
7.407407407407405886e-01,1.228666666666666657e-01,4.732382051472646123e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.340333333333333377e-01,4.763901746630486711e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.471999999999999975e-01,4.901765051223791470e-01,0.000000000000000000e+00
