# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.623000000000000109e-01,6.749716644374759156e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.750666666666666593e-01,6.781690054323097350e-01,0.000000000000000000e+00
5.000000000000000000e+00,3.836999999999999855e-01,6.885596148440441544e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.371666666666666479e-01,6.814379361043990668e-01,0.000000000000000000e+00
5.000000000000000000e-01,4.818999999999999950e-01,6.595180121555103137e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.143333333333332869e-01,4.845364195276252173e-01,0.000000000000000000e+00
