# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.356000000000000094e-01,6.391170143985943630e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.654000000000000026e-01,6.612125661450559688e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.661333333333333107e-01,6.703477848365569924e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.672333333333333560e-01,6.936115316253973484e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.747333333333333072e-01,6.831874100260129090e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.897999999999999798e-01,6.759069928677763350e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.893666666666666942e-01,6.757897734685663904e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.894333333333333536e-01,6.753039385645386306e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.986333333333333395e-01,6.846656096497207855e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.017333333333333312e-01,6.750678539828056657e-01,0.000000000000000000e+00
9.523809523809521060e-01,3.995333333333333514e-01,6.731268776462709935e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.154333333333333211e-01,6.749023511515271911e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.123666666666666591e-01,6.677164477772445927e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.195333333333333137e-01,6.755882726902638913e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.208333333333333370e-01,6.737425087634126841e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.207666666666666777e-01,6.776190699110833382e-01,0.000000000000000000e+00
