# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.675260411769509600e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.206666634158126541e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.607379167199534609e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.042862703175677502e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.562392522651634696e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.333333333333333493e-05,2.110299175382431003e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.399999999999999811e-03,2.673593475859101787e-01,0.000000000000000000e+00
1.333333333333333037e+00,1.773333333333333359e-02,3.128372899708395938e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.710000000000000103e-02,3.492653208218189920e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.719999999999999890e-02,3.746471449857474156e-01,0.000000000000000000e+00
9.523809523809521060e-01,7.376666666666666095e-02,4.012591946166164658e-01,0.000000000000000000e+00
8.695652173913041016e-01,8.419999999999999707e-02,4.288602225168733906e-01,0.000000000000000000e+00
7.999999999999998224e-01,1.071000000000000008e-01,4.415552610586990778e-01,0.000000000000000000e+00
7.407407407407405886e-01,1.100333333333333302e-01,4.588278230939419888e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.295333333333333337e-01,4.759718562957725996e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.418333333333333390e-01,4.910315894908883205e-01,0.000000000000000000e+00
