# arrival_rate,reject_ratio,utilization
1.900000000000000000e+01,6.090999999999999748e-01,9.888755549372463260e-01
1.500000000000000000e+01,6.123333333333332851e-01,9.886516308574788692e-01
1.100000000000000000e+01,6.153666666666666174e-01,9.869015854879968908e-01
9.000000000000000000e+00,6.156333333333333657e-01,9.837752268632058428e-01
7.000000000000000000e+00,6.251666666666666483e-01,9.828958290141608378e-01
5.000000000000000000e+00,6.285666666666667179e-01,9.827568116743217175e-01
3.000000000000000000e+00,6.423999999999999710e-01,9.768783623433865415e-01
1.000000000000000000e+00,6.969999999999999529e-01,9.646495630910461028e-01
5.999999999999999778e-01,7.419333333333333336e-01,9.524450597755338421e-01
5.000000000000000000e-01,7.466666666666667007e-01,9.446601750013658982e-01
