# arrival_rate,reject_ratio,utilization
1.900000000000000000e+01,0.000000000000000000e+00,1.095606228974100975e-02
1.500000000000000000e+01,0.000000000000000000e+00,1.775663481629801213e-02
1.100000000000000000e+01,0.000000000000000000e+00,3.193647845638495492e-02
9.000000000000000000e+00,0.000000000000000000e+00,4.753995145775087583e-02
7.000000000000000000e+00,0.000000000000000000e+00,7.818278229313345429e-02
5.000000000000000000e+00,0.000000000000000000e+00,1.426267768651940937e-01
3.000000000000000000e+00,0.000000000000000000e+00,3.542166921920950617e-01
1.000000000000000000e+00,2.631666666666666599e-01,9.071396666395983299e-01
5.999999999999999778e-01,3.990666666666666806e-01,9.694541700893806180e-01
5.000000000000000000e-01,4.284666666666666623e-01,9.872494700799094858e-01
