# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,1.058342907630522994e-01
6.666666666666666075e+00,1.533333333333333380e-03,3.319044218016229397e-01
3.999999999999999112e+00,7.960000000000000409e-02,4.469027420124276895e-01
2.857142857142856762e+00,1.394333333333333258e-01,5.222629457661732699e-01
2.222222222222221877e+00,2.096596780107329860e-01,5.719742793902564681e-01
1.818181818181817677e+00,2.371587613746208578e-01,6.154524748617418162e-01
1.538461538461538103e+00,2.841333333333333488e-01,6.479533238388612837e-01
1.333333333333333037e+00,3.092666666666666897e-01,6.788127248930788671e-01
1.176470588235293935e+00,3.404553181560614483e-01,6.915345538632833300e-01
1.052631578947368141e+00,3.607000000000000206e-01,7.064982885672352886e-01
9.523809523809521060e-01,3.835000000000000075e-01,7.317933885621478174e-01
8.695652173913041016e-01,4.014666666666666939e-01,7.567659161699076265e-01
7.999999999999998224e-01,4.188999999999999946e-01,7.774630269505887759e-01
7.407407407407405886e-01,4.292190260324655893e-01,7.872966173202784468e-01
6.896551724137929273e-01,4.414666666666666739e-01,8.106153578306386498e-01
6.451612903225805162e-01,4.509000000000000230e-01,8.097276164574573887e-01
