# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,4.283666666666666734e-01,7.583833078736539335e-01
6.666666666666666075e+00,4.509333333333333527e-01,7.482721694124441214e-01
3.999999999999999112e+00,4.706333333333333480e-01,7.262489082222576275e-01
2.857142857142856762e+00,4.994000000000000106e-01,7.159737674999654411e-01
2.222222222222221877e+00,4.990999999999999881e-01,7.205894797783454209e-01
1.818181818181817677e+00,5.140666666666666718e-01,7.026174255903395727e-01
1.538461538461538103e+00,5.264999999999999680e-01,7.070650216174663161e-01
1.333333333333333037e+00,5.324666666666666437e-01,6.979325907278223218e-01
1.176470588235293935e+00,5.356666666666666243e-01,6.917241270095083605e-01
1.052631578947368141e+00,5.439666666666667094e-01,6.908275717033486307e-01
9.523809523809521060e-01,5.471333333333333604e-01,6.824803016983750359e-01
8.695652173913041016e-01,5.490666666666667028e-01,6.917026158680277259e-01
7.999999999999998224e-01,5.506333333333333080e-01,6.907232330671364551e-01
7.407407407407405886e-01,5.745999999999999996e-01,6.764528497047459510e-01
6.896551724137929273e-01,5.638666666666666272e-01,6.727265045487433870e-01
6.451612903225805162e-01,5.686666666666666536e-01,6.685871138548732384e-01
