# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,5.555333333333333234e-01,8.455307152956813566e-01,0.000000000000000000e+00
1.000000000000000000e+01,5.762333333333333751e-01,8.591466490415948787e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.872000000000000552e-01,8.620077630681743930e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.991333333333332956e-01,8.731854121226322318e-01,0.000000000000000000e+00
5.000000000000000000e-01,6.177333333333333565e-01,8.686682504397227333e-01,0.000000000000000000e+00
5.000000000000000278e-02,7.229333333333333167e-01,7.178930611923096672e-01,0.000000000000000000e+00
