# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.621666666666666923e-01,6.954274362851173841e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.792333333333333112e-01,7.116736197039782441e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.862333333333333174e-01,7.107751062867544434e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.980000000000000204e-01,7.022324767789749345e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.993666666666666476e-01,7.031845026481545746e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.104666666666666464e-01,7.031149275607698756e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.189333333333333242e-01,7.040881202771034353e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.292666666666666853e-01,7.037978551038424069e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.331333333333333147e-01,6.998623040220074421e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.418666666666666853e-01,7.031628018620225129e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.506333333333333302e-01,6.995710775237117263e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.475000000000000089e-01,6.875297332037455522e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.483333333333333059e-01,6.902298099040171664e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.621666666666666701e-01,6.925118511416590295e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.649333333333333096e-01,6.768951781005683177e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.673666666666666525e-01,6.872025989574080951e-01,0.000000000000000000e+00
