# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.326999999999999957e-01,6.621000324123880176e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.565333333333333132e-01,6.910385718456657500e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.593333333333333379e-01,6.984282231524738815e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.693000000000000171e-01,7.012327956361880110e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.737333333333333063e-01,7.035544845450251161e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.751999999999999780e-01,6.911184459572432548e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.847999999999999754e-01,7.036117886637093255e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.911333333333333329e-01,6.973144042297152456e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.021000000000000130e-01,6.967419621612694902e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.008333333333333193e-01,6.932798551859251646e-01,0.000000000000000000e+00
9.523809523809521060e-01,3.986999999999999988e-01,7.053070764319628871e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.108666666666666578e-01,6.893779676210280982e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.104333333333333167e-01,6.928630318757691420e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.122333333333333405e-01,6.863121921524651947e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.208999999999999964e-01,6.884473930477894577e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.237000000000000210e-01,6.847477345397601223e-01,0.000000000000000000e+00
