# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.628666666666666707e-01,7.038822660756773875e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.742333333333333067e-01,7.029299410454514785e-01,0.000000000000000000e+00
5.000000000000000000e+00,3.876000000000000001e-01,7.123943201059265151e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.416999999999999815e-01,6.967213966273062553e-01,0.000000000000000000e+00
5.000000000000000000e-01,4.795333333333333115e-01,6.732151425888011076e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.196000000000000396e-01,4.746461883190338238e-01,0.000000000000000000e+00
