# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.124333333333333407e-01,6.913368634505641097e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.553999999999999937e-01,7.130039242943736477e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.644666666666666610e-01,7.120669032415583022e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.706999999999999740e-01,7.080770796011108814e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.720333333333333270e-01,7.160851352536131698e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.761999999999999789e-01,7.214506817551527007e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.806999999999999829e-01,7.142457268385398184e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.810999999999999943e-01,7.224821677051198598e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.896999999999999909e-01,7.276133818118872831e-01,0.000000000000000000e+00
1.052631578947368141e+00,3.947333333333333250e-01,7.091843379499231936e-01,0.000000000000000000e+00
9.523809523809521060e-01,3.948333333333333139e-01,7.145684284566731215e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.027666666666666617e-01,7.113382191872840155e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.079333333333333145e-01,7.062770217276783669e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.092999999999999972e-01,7.068872063454970656e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.115333333333333066e-01,6.973888670585525196e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.162666666666666737e-01,7.124420417368103609e-01,0.000000000000000000e+00
