# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.609795561145347026e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.179973322193654375e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.572856474872302929e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.003483619363951390e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.549795560962733409e-01,0.000000000000000000e+00
1.818181818181817677e+00,0.000000000000000000e+00,2.161391842412540565e-01,0.000000000000000000e+00
1.538461538461538103e+00,0.000000000000000000e+00,2.702092420632610792e-01,0.000000000000000000e+00
1.333333333333333037e+00,1.866666666666666648e-03,3.320783267038029396e-01,0.000000000000000000e+00
1.176470588235293935e+00,2.233333333333333351e-02,3.651227416352234023e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.336666666666666448e-02,4.046897129208144039e-01,0.000000000000000000e+00
9.523809523809521060e-01,6.400000000000000133e-02,4.253088606913411063e-01,0.000000000000000000e+00
8.695652173913041016e-01,7.620000000000000384e-02,4.437554908911585660e-01,0.000000000000000000e+00
7.999999999999998224e-01,9.596666666666667234e-02,4.665947726681311525e-01,0.000000000000000000e+00
7.407407407407405886e-01,1.030999999999999972e-01,4.918048727519032659e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.185666666666666674e-01,5.062781107367521072e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.273333333333333262e-01,5.236810518468344444e-01,0.000000000000000000e+00
