# arrival_rate,reject_ratio,utilization
1.900000000000000000e+01,5.984000000000000430e-01,9.933633322263807353e-01
1.500000000000000000e+01,5.975000000000000311e-01,9.930474448867656623e-01
1.100000000000000000e+01,6.104000000000000536e-01,9.928618568841611758e-01
9.000000000000000000e+00,6.096333333333333604e-01,9.922337300581757225e-01
7.000000000000000000e+00,6.235666666666667135e-01,9.912424033597743156e-01
5.000000000000000000e+00,6.299666666666666748e-01,9.893048205948528073e-01
3.000000000000000000e+00,6.435666666666666202e-01,9.854614562136749800e-01
1.000000000000000000e+00,7.003000000000000336e-01,9.706863622948957993e-01
5.999999999999999778e-01,7.360333333333333172e-01,9.564934561477187458e-01
5.000000000000000000e-01,7.470666666666666567e-01,9.502078720925932753e-01
