# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,1.059851142139640601e-01
6.666666666666666075e+00,1.100000000000000066e-03,3.371907235869084363e-01
3.999999999999999112e+00,7.163333333333332664e-02,4.497391686324265225e-01
2.857142857142856762e+00,1.302333333333333398e-01,5.240792302526402491e-01
2.222222222222221877e+00,1.983267224425852571e-01,5.723517464562100088e-01
1.818181818181817677e+00,2.224259191360287991e-01,6.174260341211115222e-01
1.538461538461538103e+00,2.662333333333333218e-01,6.508306452718608526e-01
1.333333333333333037e+00,2.942000000000000171e-01,6.791430041217200175e-01
1.176470588235293935e+00,3.263557881403953420e-01,6.930569565771849128e-01
1.052631578947368141e+00,3.447000000000000064e-01,7.096042009690316510e-01
9.523809523809521060e-01,3.689333333333333353e-01,7.320139460792757236e-01
8.695652173913041016e-01,3.858333333333333059e-01,7.558275464717866265e-01
7.999999999999998224e-01,3.991333333333333400e-01,7.809053105728029909e-01
7.407407407407405886e-01,4.118862704576514155e-01,7.892795122673108565e-01
6.896551724137929273e-01,4.284000000000000030e-01,8.086070858252557558e-01
6.451612903225805162e-01,4.364000000000000101e-01,8.099005129023076899e-01
