# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,1.775333333333333208e-01,7.858853176321151102e-01
6.666666666666666075e+00,1.843333333333333213e-01,7.950277369130982486e-01
3.999999999999999112e+00,1.946333333333333249e-01,7.806433539530367449e-01
2.857142857142856762e+00,1.984666666666666801e-01,7.824218837538614579e-01
2.222222222222221877e+00,1.981666666666666576e-01,7.682808365441764487e-01
1.818181818181817677e+00,1.952666666666666717e-01,7.810215823741049057e-01
1.538461538461538103e+00,2.065666666666666762e-01,7.692776842636462886e-01
1.333333333333333037e+00,2.079666666666666608e-01,7.682464220338917071e-01
1.176470588235293935e+00,2.036999999999999922e-01,7.634755511086634971e-01
1.052631578947368141e+00,2.123333333333333461e-01,7.559762219435121056e-01
9.523809523809521060e-01,2.140333333333333254e-01,7.505014730779389076e-01
8.695652173913041016e-01,2.185333333333333294e-01,7.508963270397995826e-01
7.999999999999998224e-01,2.291999999999999871e-01,7.542147411110918798e-01
7.407407407407405886e-01,2.305000000000000104e-01,7.510709393454541027e-01
6.896551724137929273e-01,2.243999999999999884e-01,7.494890971004209979e-01
6.451612903225805162e-01,2.219666666666666732e-01,7.375410430190041389e-01
