# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,5.896000000000000130e-01,9.689275527656594500e-01
6.666666666666666075e+00,5.993333333333333846e-01,9.616223348113797087e-01
3.999999999999999112e+00,6.038999999999999924e-01,9.608181433552326345e-01
2.857142857142856762e+00,6.107333333333333503e-01,9.397690049951993307e-01
2.222222222222221877e+00,6.165333333333333776e-01,9.405926880999323503e-01
1.818181818181817677e+00,6.280999999999999917e-01,9.408865117124914912e-01
1.538461538461538103e+00,6.321999999999999842e-01,9.362268645974703984e-01
1.333333333333333037e+00,6.441333333333333355e-01,9.309840639309624466e-01
1.176470588235293935e+00,6.330999999999999961e-01,9.258970914688847698e-01
1.052631578947368141e+00,6.504999999999999671e-01,9.257415227849239425e-01
9.523809523809521060e-01,6.584999999999999742e-01,9.215376494009880348e-01
8.695652173913041016e-01,6.500000000000000222e-01,9.198087047702937502e-01
7.999999999999998224e-01,6.650333333333333652e-01,9.139123875125081398e-01
7.407407407407405886e-01,6.680000000000000382e-01,9.171960775428025237e-01
6.896551724137929273e-01,6.705333333333333146e-01,9.107488776245002970e-01
6.451612903225805162e-01,6.762333333333333529e-01,9.071299468835849478e-01
