# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,5.866542300682795613e-02
6.666666666666666075e+00,0.000000000000000000e+00,1.796962397018751767e-01
3.999999999999999112e+00,0.000000000000000000e+00,2.948191478519545661e-01
2.857142857142856762e+00,3.333333333333333547e-03,4.022130568481019908e-01
2.222222222222221877e+00,1.816666666666666777e-02,4.977514548236763869e-01
1.818181818181817677e+00,4.036666666666666875e-02,5.643554128020719096e-01
1.538461538461538103e+00,5.979999999999999899e-02,6.278445110183221711e-01
1.333333333333333037e+00,9.143333333333333868e-02,6.791324899569557427e-01
1.176470588235293935e+00,1.249958334722175990e-01,7.125077554782673905e-01
1.052631578947368141e+00,1.379333333333333245e-01,7.481483132441120176e-01
9.523809523809521060e-01,1.637945401819939362e-01,7.674622544608691310e-01
8.695652173913041016e-01,1.800666666666666804e-01,7.930004781090083110e-01
7.999999999999998224e-01,2.044333333333333280e-01,7.981442644588497837e-01
7.407407407407405886e-01,2.286257124762507975e-01,8.141124621050593868e-01
6.896551724137929273e-01,2.367429923674299330e-01,8.228708694325014283e-01
6.451612903225805162e-01,2.671333333333333337e-01,8.397332629712381813e-01
