# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,1.841000000000000136e-01,7.643043000176481527e-01
6.666666666666666075e+00,1.897333333333333372e-01,7.651128615353318674e-01
3.999999999999999112e+00,2.040333333333333443e-01,7.574835754772507590e-01
2.857142857142856762e+00,2.068000000000000116e-01,7.580032285400511993e-01
2.222222222222221877e+00,2.033666666666666678e-01,7.473016878247537020e-01
1.818181818181817677e+00,2.068333333333333413e-01,7.589068719444671540e-01
1.538461538461538103e+00,2.152333333333333321e-01,7.518624371409163842e-01
1.333333333333333037e+00,2.179000000000000103e-01,7.487142699697478809e-01
1.176470588235293935e+00,2.118333333333333457e-01,7.433887938783527716e-01
1.052631578947368141e+00,2.190333333333333299e-01,7.377179511711985382e-01
9.523809523809521060e-01,2.204333333333333422e-01,7.334211285218541487e-01
8.695652173913041016e-01,2.252000000000000113e-01,7.339900640303664847e-01
7.999999999999998224e-01,2.354999999999999871e-01,7.371040979529482895e-01
7.407407407407405886e-01,2.321333333333333304e-01,7.327753406279970960e-01
6.896551724137929273e-01,2.283333333333333326e-01,7.340130143113237082e-01
6.451612903225805162e-01,2.280999999999999972e-01,7.225350707174770237e-01
