# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,7.823469295746272520e-03
6.666666666666666075e+00,0.000000000000000000e+00,6.817374914098199568e-02
3.999999999999999112e+00,0.000000000000000000e+00,1.698252729583447640e-01
2.857142857142856762e+00,4.433333333333333397e-03,3.069052780122630275e-01
2.222222222222221877e+00,5.086666666666666420e-02,4.040153858945400023e-01
1.818181818181817677e+00,1.109333333333333282e-01,4.755614705919877783e-01
1.538461538461538103e+00,1.613666666666666583e-01,5.337618810364220812e-01
1.333333333333333037e+00,1.970000000000000084e-01,5.695041489263888979e-01
1.176470588235293935e+00,2.414333333333333331e-01,6.030579810416600850e-01
1.052631578947368141e+00,2.685000000000000164e-01,6.262651810012549447e-01
9.523809523809521060e-01,2.926333333333333564e-01,6.551465857747106325e-01
8.695652173913041016e-01,3.135999999999999899e-01,6.717791853477299568e-01
7.999999999999998224e-01,3.296000000000000041e-01,6.901519921976807526e-01
7.407407407407405886e-01,3.471000000000000196e-01,6.998754873575478985e-01
6.896551724137929273e-01,3.724000000000000088e-01,7.199493267514424089e-01
6.451612903225805162e-01,3.786666666666666514e-01,7.393808886433582694e-01
