# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.338333333333333153e-01,6.826932508582698178e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.628000000000000114e-01,7.026315104952435275e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.673666666666666747e-01,7.031723007851707896e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.746666666666666479e-01,6.947349313748961697e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.847666666666666457e-01,7.005656846503415247e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.848333333333333606e-01,6.973127657322146788e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.941666666666666652e-01,6.953370706616425201e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.913333333333333108e-01,6.970733352682745299e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.956666666666666665e-01,7.021244779657809243e-01,0.000000000000000000e+00
1.052631578947368141e+00,3.960666666666666780e-01,7.032178695469715191e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.107000000000000095e-01,6.908764294435123521e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.097333333333333383e-01,6.933629695500805878e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.126000000000000223e-01,6.887457415208707578e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.188000000000000056e-01,6.826999069504179340e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.152000000000000135e-01,6.838482487288226608e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.178000000000000047e-01,6.812423615529340504e-01,0.000000000000000000e+00
