# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.700666666666666549e-01,7.175916529945268740e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.770999999999999908e-01,7.111347617997546555e-01,0.000000000000000000e+00
5.000000000000000000e+00,3.910333333333333439e-01,7.146471469215319727e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.438333333333333575e-01,6.829634894312248683e-01,0.000000000000000000e+00
5.000000000000000000e-01,4.771666666666666834e-01,6.637954590393614351e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.196333333333333693e-01,4.736920679985758831e-01,0.000000000000000000e+00
