# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,1.907666666666666677e-01,7.763568076103012361e-01
6.666666666666666075e+00,2.004333333333333245e-01,7.751953670992890455e-01
3.999999999999999112e+00,2.158333333333333215e-01,7.551213963674944241e-01
2.857142857142856762e+00,2.161666666666666736e-01,7.465759095330211093e-01
2.222222222222221877e+00,2.156333333333333435e-01,7.293218111283100713e-01
1.818181818181817677e+00,2.156666666666666732e-01,7.342335980384642191e-01
1.538461538461538103e+00,2.273000000000000020e-01,7.206643109251870127e-01
1.333333333333333037e+00,2.287333333333333441e-01,7.186790196882426596e-01
1.176470588235293935e+00,2.232333333333333392e-01,7.098054989358069111e-01
1.052631578947368141e+00,2.318999999999999950e-01,7.051856656376437327e-01
9.523809523809521060e-01,2.346000000000000030e-01,7.026731553071374758e-01
8.695652173913041016e-01,2.381666666666666654e-01,6.995028885917817796e-01
7.999999999999998224e-01,2.429666666666666641e-01,7.042689436950465565e-01
7.407407407407405886e-01,2.456333333333333424e-01,7.004375299150652490e-01
6.896551724137929273e-01,2.392333333333333256e-01,7.009840336466811594e-01
6.451612903225805162e-01,2.405666666666666786e-01,6.941435499450134827e-01
